,G20,한국,미국,중국
1955-01,,,101.4528,
1955-02,,,101.8108,
1955-03,,,102.1072,
1955-04,,,102.3159,
1955-05,,,102.4367,
1955-06,,,102.4769,
1955-07,,,102.4792,
1955-08,,,102.4646,
1955-09,,,102.4382,
1955-10,,,102.3839,
1955-11,,,102.2673,
1955-12,,,102.0639,
1956-01,,,101.7673,
1956-02,,,101.4234,
1956-03,,,101.0875,
1956-04,,,100.7746,
1956-05,,,100.5039,
1956-06,,,100.3183,
1956-07,,,100.2522,
1956-08,,,100.3065,
1956-09,,,100.4265,
1956-10,,,100.553,
1956-11,,,100.6369,
1956-12,,,100.6302,
1957-01,,,100.5135,
1957-02,,,100.3315,
1957-03,,,100.0886,
1957-04,,,99.82347,
1957-05,,,99.56524,
1957-06,,,99.28943,
1957-07,,,98.96224,
1957-08,,,98.56243,
1957-09,,,98.09294,
1957-10,,,97.59924,
1957-11,,,97.15201,
1957-12,,,96.80572,
1958-01,,,96.62221,
1958-02,,,96.63711,
1958-03,,,96.84535,
1958-04,,,97.22214,
1958-05,,,97.75175,
1958-06,,,98.38442,
1958-07,,,99.05339,
1958-08,,,99.71525,
1958-09,,,100.3505,
1958-10,,,100.96,
1958-11,,,101.5314,
1958-12,,,102.0523,
1959-01,,,102.5228,
1959-02,,,102.8982,
1959-03,,,103.1361,
1959-04,,,103.2113,
1959-05,,,103.1159,
1959-06,,,102.861,
1959-07,,,102.49,
1959-08,,,102.0788,
1959-09,,,101.6993,
1959-10,,,101.3937,
1959-11,,,101.1692,
1959-12,,,100.9923,
1960-01,,,100.7661,
1960-02,,,100.4585,
1960-03,,,100.1183,
1960-04,,,99.79691,
1960-05,,,99.51598,
1960-06,,,99.27024,
1960-07,,,99.03875,
1960-08,,,98.81904,
1960-09,,,98.60152,
1960-10,,,98.41479,
1960-11,,,98.29221,
1960-12,,,98.26967,
1961-01,100.748,,98.36669,
1961-02,100.8941,,98.60316,
1961-03,101.0841,,98.96487,
1961-04,101.2847,,99.39964,
1961-05,101.4579,,99.84333,
1961-06,101.5858,,100.2563,
1961-07,101.6546,,100.6121,
1961-08,101.6673,,100.9029,
1961-09,101.6354,,101.1149,
1961-10,101.5774,,101.245,
1961-11,101.5089,,101.2999,
1961-12,101.416,,101.2668,
1962-01,101.2586,,101.1384,
1962-02,101.0684,,100.9334,
1962-03,100.8505,,100.6541,
1962-04,100.6239,,100.3264,
1962-05,100.4053,,99.9956,
1962-06,100.211,,99.70747,
1962-07,100.0707,,99.50867,
1962-08,99.99185,,99.40807,
1962-09,99.97381,,99.40353,
1962-10,100.0059,,99.48112,
1962-11,100.0813,,99.62257,
1962-12,100.1831,,99.79321,
1963-01,100.3031,,99.96203,
1963-02,100.4431,,100.1085,
1963-03,100.6031,,100.2238,
1963-04,100.7623,,100.3044,
1963-05,100.894,,100.3347,
1963-06,100.9836,,100.3147,
1963-07,101.0408,,100.2661,
1963-08,101.0762,,100.2157,
1963-09,101.0976,,100.1879,
1963-10,101.103,,100.1783,
1963-11,101.0942,,100.182,
1963-12,101.0829,,100.2127,
1964-01,101.0766,,100.2824,
1964-02,101.063,,100.3686,
1964-03,101.043,,100.4646,
1964-04,101.0196,,100.5601,
1964-05,100.9975,,100.6474,
1964-06,100.9782,,100.7258,
1964-07,100.9523,,100.791,
1964-08,100.9139,,100.8346,
1964-09,100.8665,,100.8781,
1964-10,100.8098,,100.9273,
1964-11,100.7605,,100.999,
1964-12,100.7275,,101.0846,
1965-01,100.7067,,101.1603,
1965-02,100.6803,,101.2052,
1965-03,100.6304,,101.2067,
1965-04,100.5555,,101.1615,
1965-05,100.4756,,101.0886,
1965-06,100.4147,,101.021,
1965-07,100.3981,,100.9967,
1965-08,100.4388,,101.0355,
1965-09,100.5385,,101.1444,
1965-10,100.6896,,101.3116,
1965-11,100.8743,,101.51,
1965-12,101.0684,,101.7003,
1966-01,101.2388,,101.8354,
1966-02,101.3449,,101.8683,
1966-03,101.3603,,101.7729,
1966-04,101.2691,,101.5519,
1966-05,101.0739,,101.2309,
1966-06,100.807,,100.8715,
1966-07,100.4971,,100.5039,
1966-08,100.1748,,100.1478,
1966-09,99.87501,,99.80796,
1966-10,99.61096,,99.47874,
1966-11,99.39876,,99.17326,
1966-12,99.23876,,98.9122,
1967-01,99.14924,,98.7207,
1967-02,99.12391,,98.61681,
1967-03,99.16962,,98.63155,
