create_date,title,writer,views,like,dislike
2022.08.31 17:31,상투지비 <( ^) 우리지베 고양이 보뤄... [4],shee****,325,2,5
2022.08.31 14:51,몰?루 ~~ 팡탕보당 [2],shee****,322,1,6
2022.08.31 14:04,사업보고서 [6],hawa****,691,8,7
2022.08.31 12:36,여태까지,maen****,228,1,0
2022.08.31 10:47,결산보고서 언제 제출하나,anys****,266,1,0
2022.08.31 10:40,판타지오 호가창보면서 늘 느끼는 점,fj******,247,1,0
2022.08.31 10:40,현차 [1],kj******,223,1,0
2022.08.31 10:12,"방금 10,000 주 던짐?",mcms****,209,1,0
2022.08.30 22:52,조광벤처스 김우동 [9],hawa****,548,9,11
2022.08.30 11:11,[삭제된 게시물의 답글]하와님 큰일 났습... [1],knr9****,363,5,0
2022.08.30 06:31,돔황챠-------------------... [5],shee****,555,2,7
2022.08.29 18:13,곧,maen****,300,2,2
2022.08.29 18:09,"""어떠케든"" [2]",shee****,290,1,6
2022.08.29 13:20,밑으로는 내려갈 룸이 없다. [11],hawa****,723,9,12
2022.08.29 12:58,판타지오 종토방에 주식고수 도사코스프레 ... [1],drug****,300,2,1
2022.08.29 12:13,점심시간 짬내서 검색해보니... [2],fj******,377,2,1
2022.08.29 10:37,오늘도 팡타는,kj******,211,1,1
2022.08.29 09:23,하와님 비를 내려 주소서!!,gks8****,220,1,0
2022.08.28 21:09,블라인드는 기대하지마라 [3],hulk****,440,9,4
2022.08.28 18:36,블랙 먼데이 [7],hawa****,518,7,8
2022.08.26 23:55,서울대작전... 후기 [1],fj******,385,5,0
2022.08.26 19:33,EID 추가상장 [13],hawa****,605,10,12
2022.08.26 18:52,쫄지마뤄 이건 시_작전_여흥일뿐~... [3],shee****,249,2,5
2022.08.26 13:41,[삭제된 게시물의 답글]이해가 안되네,kj******,272,4,0
2022.08.26 12:15,음~ [1],0507****,236,3,0
2022.08.26 10:35,블라인드 [2],kj******,368,2,0
2022.08.26 09:52,팡타 [3],kj******,359,1,0
2022.08.26 09:33,서울대작전,fj******,195,1,0
2022.08.26 08:01,즐거운 주말 보내세요 ^&^,kms-****,305,2,2
2022.08.26 00:13,"美 뉴욕 증시, 잭슨홀미팅 앞두고 일제히... [2]",fj******,297,2,0
2022.08.25 19:04,이창용은 검은머리인가 [6],hawa****,521,7,14
2022.08.25 15:02,팡타,kj******,245,3,1
2022.08.25 14:33,한국증권,kj******,186,1,1
2022.08.25 11:22,네이버 증권 관리종목... [1],hih1****,368,2,5
2022.08.25 08:34,오늘도..,hera****,291,2,0
2022.08.25 08:12,kjcl**** 감사 ^&^ [3],kms-****,352,3,0
2022.08.25 07:58,판타에 주주들중에,kms-****,287,4,1
2022.08.25 07:24,오늘도 화이팅 ㅋㅋㅋ,kms-****,259,2,0
2022.08.25 07:20,파란쓰빤쓰,shee****,246,1,1
2022.08.25 03:46,판타 글짓기 대회,maen****,267,1,0
2022.08.24 20:46,관리종목들어가서,re******,212,2,1
2022.08.24 18:04,윤석열의 외환위기 [7],hawa****,513,9,11
2022.08.24 18:02,뿌리이리이이이 더어어엄_!! [1],shee****,159,2,3
2022.08.24 17:35,매물,msps****,148,2,1
2022.08.24 15:29,미이인수우우야야야-!!@ [3],shee****,248,2,4
2022.08.24 14:29,사지말라 사지말라 하더니만... [6],fj******,390,3,0
2022.08.24 13:27,블라인드 [1],kj******,266,6,0
2022.08.24 11:34,세력 [6],kj******,461,6,1
2022.08.24 13:29,아직도 어두운밤 이구려~,soon****,111,1,0
2022.08.24 09:57,개지날 하던니 ~ㅎㅎ,soon****,273,3,0
2022.08.24 09:19,호가창 [1],kj******,325,9,1
2022.08.24 08:56,판타 민수 일핼마,shee****,264,2,5
2022.08.24 08:38,오늘 하한가 가나여 ㅋㅋㅋ? [5],kms-****,365,6,3
2022.08.24 00:55,그치만~... 샹뚜스___!! 팔이_!!... [1],shee****,380,2,4
2022.08.23 19:55,빤스대작전___!! [3],shee****,211,3,4
2022.08.23 18:51,투자주의 ^&^ [3],kms-****,325,10,1
2022.08.23 18:19,투자주의 지정 예고 [14],hawa****,646,11,13
2022.08.23 17:14,주가 계속 떨어지는데... [3],fj******,219,4,0
2022.08.23 17:08,"어뜨케든 ""해줄게"" 근데~... [4]",shee****,208,3,2
2022.08.23 15:34,오늘도 힘든판타지오를 지켜보아온 강성주주... [5],kms-****,255,3,0
2022.08.23 15:11,참고 잘 하시길,ah******,194,4,0
2022.08.23 13:42,허매수 들어오는구나 ㅋㅋㅋ [3],kms-****,277,4,0
2022.08.23 10:19,호가창 보면 모르나여 ㅋㅋㅋ [1],kms-****,404,9,1
2022.08.23 09:57,얼마나 빼는거야!,tjde****,250,2,0
2022.08.23 09:13,잊고살자!,hera****,267,2,1
2022.08.23 08:55,며칠간 거래량 2억주 이상 나와야 사채... [2],kms-****,307,2,0
2022.08.23 08:43,허매수에 추격매수 추매 금지 ㅋㅋㅋ [5],kms-****,304,5,0
2022.08.22 22:39,아?도 안산 흑우우흑 ?짹<( ^)? [8],shee****,239,1,6
2022.08.22 22:07,그냥 즐기라,maen****,120,2,0
2022.08.22 18:38,걱정하시는 강성주주님들 [6],kms-****,366,5,0
2022.08.22 17:37,근데 하이브가 판타지오 인수하면 얼마나 ... [4],dydd****,390,1,7
2022.08.22 17:06,강성주주님들 내일 걱정하시지마세여 ㅋㅋ... [3],kms-****,270,5,0
2022.08.22 17:03,하와 니만 바라 ㅋㅋㅋ,kms-****,236,9,1
2022.08.22 16:07,역외선물환시장(NDF) [9],hawa****,542,6,13
2022.08.22 14:22,500원대 매수.~ㅎㅎ,soon****,217,3,1
2022.08.22 11:12,내일 물량주의 [2],ky******,456,4,2
2022.08.22 10:53,시체 주식,tlfk****,354,3,1
2022.08.22 11:01,시체 주식,kj******,132,2,1
2022.08.22 10:37,그날을 연기...,hih1****,273,5,0
2022.08.22 10:26,전사채가지고 있는 사채꾼 보고있니 ㅋㅋㅋ,kms-****,276,2,0
2022.08.22 10:01,가을이 오는구나 추석이 오는구나 ㅋㅋㅋ,kms-****,265,6,0
2022.08.22 09:46,신규 개미들은 없지만 [1],kms-****,292,4,0
2022.08.22 09:32,전사채 [2],kj******,317,7,0
2022.08.22 09:18,드라마 블라인드 [1],qudw****,342,2,1
2022.08.22 09:15,걱정없다 사채꾼들아 ㅋㅋㅋ [1],kms-****,301,2,0
2022.08.22 09:01,게시판에 매수 추매 부추키는 것들은 [6],kms-****,319,3,0
2022.08.22 08:53,사채꾼들아 빨리 밀어버려라 [1],kms-****,272,3,0
2022.08.22 08:20,이종목 한국증시 꾼?들은>>??,ch01****,256,2,0
2022.08.22 01:47,이거 10ㄷ1 무상감자 한거 아님?,dydd****,288,2,0
2022.08.21 10:06,푸?히~... )> [2],shee****,362,1,6
2022.08.20 15:00,상투지비!!!!!!!!!!!!!!!!! ... [3],shee****,300,1,5
2022.08.20 07:21,판타지오의 추가상장을 진심으로 축하드립니...,kram****,497,4,3
2022.08.20 00:07,드라마 블라인드가 잘되길 빌어 애들아,qudw****,590,3,1
2022.08.19 23:35,판타지옥,sunh****,207,1,2
2022.08.19 17:19,아닐ㅡ껄? <( ^) [2],shee****,321,1,5
2022.08.19 15:39,제3의쩐주 [5],hawa****,995,14,11
2022.08.19 15:30,안판니가 잘못이지 내린 가 잘못이냐,shee****,222,1,5
2022.08.19 11:37,종가...,hera****,272,2,3
2022.08.19 11:35,빨간불 거래량 터지기전엔 매수 절대안한다 [1],dokk****,359,1,1
2022.08.19 11:25,이려려고~~~ [1],leej****,260,2,0
2022.08.19 11:04,얄팍한 지식에,maen****,318,3,3
2022.08.19 10:49,18 [1],roke****,372,1,1
2022.08.19 10:48,팡타 매수금지~~~!!!!!! [1],kj******,361,2,1
2022.08.19 10:42,레알 판타지오 경영진 ㅅㄲ들,gks8****,306,3,0
2022.08.19 10:38,자자 흔돌고,maen****,249,1,0
2022.08.19 10:30,드라마 블라인드 신청률 보고 팔지 말지 ...,jhwb****,287,1,1
2022.08.19 10:30,하와반대로 함 [1],maen****,325,7,0
2022.08.19 10:24,왜.....빠지누,sups****,257,1,0
