기간,조업일수,수출 금액,수입 금액,무역수지
2000-01,23.0,12162425,12594623,-432198
2000-02,21.5,12676042,12023652,652390
2000-03,24.0,14429703,14212011,217692
2000-04,21.5,13522040,13344532,177508
2000-05,22.0,14636755,13283356,1353399
2000-06,23.0,15250940,13177511,2073428
2000-07,22.5,14455656,13671876,783780
2000-08,24.0,14786880,13441139,1345741
2000-09,20.5,15133379,13291803,1841577
2000-10,23.0,15248068,14104212,1143855
2000-11,24.0,14989068,14160418,828650
2000-12,22.5,14976555,13175885,1800670
2001-01,21.0,12644929,12431023,213906
2001-02,22.0,13354074,12732258,621816
2001-03,23.5,14124891,12951886,1173005
2001-04,22.0,12121110,11212192,908918
2001-05,23.5,13306959,11554834,1752125
2001-06,22.5,12931941,11718966,1212975
2001-07,23.0,11392257,11107564,284693
2001-08,24.0,11766192,11337826,428366
2001-09,22.5,12447324,11709659,737665
2001-10,22.0,12086028,11506884,579144
2001-11,24.0,12348967,11532771,816196
2001-12,22.5,11914472,11301958,612514
2002-01,24.0,11381879,11326430,55450
2002-02,19.0,11023037,10471161,551875
2002-03,22.5,13251323,11990097,1261226
2002-04,23.0,13184534,12559696,624838
2002-05,24.0,14173177,12698101,1475075
2002-06,21.5,12894088,11934221,959867
2002-07,24.0,13395179,13031773,363406
2002-08,23.5,13959110,12860751,1098359
2002-09,21.5,13900763,12991557,909207
2002-10,24.0,15084659,13817061,1267597
2002-11,23.5,15196561,13993431,1203131
2002-12,23.0,15026217,14451874,574343
2003-01,23.0,14319931,14494967,-175036
2003-02,21.5,13337145,13858274,-521129
2003-03,23.0,15378850,15870217,-491367
2003-04,23.5,15720592,14758747,961845
2003-05,21.5,14676092,13523642,1152450
2003-06,22.0,15656327,13428141,2228186
2003-07,24.0,15431714,14898003,533711
2003-08,22.5,15375268,13541360,1833909
2003-09,21.0,17021082,14531444,2489639
2003-10,24.0,18929665,16536628,2393037
2003-11,22.5,18242088,15760750,2481338
2003-12,24.0,19728688,17624485,2104203
2004-01,20.5,18987120,16208879,2778241
2004-02,22.5,19136968,17468564,1668403
2004-03,24.0,21174855,19120078,2054777
2004-04,23.0,21483357,18829952,2653405
2004-05,21.0,20834259,17895384,2938875
2004-06,24.0,21657111,18544350,3112761
2004-07,24.0,21003794,18390091,2613703
2004-08,24.0,19798969,18124364,1674604
2004-09,21.0,20831133,18193347,2637786
2004-10,23.5,22663289,20408216,2255073
2004-11,24.0,23076612,20311965,2764647
2004-12,24.5,23197206,20967497,2229709
2005-01,23.0,22454025,19450003,3004023
2005-02,19.0,20401096,18396908,2004188
2005-03,24.0,23952500,22779866,1172634
2005-04,22.5,22872505,21244490,1628014
2005-05,24.0,23122703,21161778,1960925
2005-06,23.0,23707576,21288597,2418979
2005-07,23.5,23235522,21508824,1726698
2005-08,24.0,23342967,22000828,1342138
2005-09,22.5,24519191,22718657,1800534
2005-10,22.5,25352748,22652735,2700013
2005-11,24.0,25826192,23849552,1976641
2005-12,24.5,25631716,24186026,1445691
2006-01,22.5,23257866,23089304,168562
2006-02,22.0,23786956,23507780,279176
2006-03,24.0,26840145,25945007,895139
2006-04,22.5,25590123,24485820,1104303
2006-05,23.0,27934507,26210366,1724141
2006-06,23.0,27948805,26023464,1925341
2006-07,22.5,25774350,25549715,224635
2006-08,24.0,27287195,27029461,257733
2006-09,23.5,29651247,27636644,2014603
2006-10,20.5,28015959,25621762,2394196
2006-11,24.0,30602313,26765115,3837198
2006-12,22.5,28775383,27518194,1257189
2007-01,24.0,28092561,27560101,532459
2007-02,20.5,26225125,25406152,818973
2007-03,23.5,30385840,29295460,1090380
2007-04,23.0,29944456,29596882,347574
2007-05,22.5,31039901,29856937,1182964
2007-06,22.5,32000109,28508098,3492011
2007-07,23.0,30207444,29223201,984243
2007-08,24.0,30998134,29642050,1356085
2007-09,19.5,29323535,27193582,2129953
2007-10,24.0,34433813,32741232,1692581
2007-11,24.0,35807893,33926124,1881769
2007-12,22.5,33030276,33895915,-865639
2008-01,24.0,32274575,36318030,-4043456
2008-02,20.0,31178190,32624334,-1446144
2008-03,23.0,35991776,37110561,-1118785
2008-04,24.0,37850247,38260401,-410154
2008-05,21.5,39383158,38704468,678690
2008-06,22.0,37258608,37827931,-569323
2008-07,25.0,40961223,42952491,-1991267
2008-08,22.5,36610603,40420447,-3809845
2008-09,22.5,37428303,39528073,-2099770
2008-10,24.0,37111140,36098774,1012365
2008-11,22.5,28841617,28853646,-12029
2008-12,24.0,27117889,26575580,542309
2009-01,21.5,21133405,24898821,-3765416
2009-02,22.0,25397150,22598094,2799056
