,Code,Name,Start Price,End Price,Change,Period,Industry
0,036930,주성엔지니어링,6770.0,7336.0,566.0,2002-03-25 to 2004-08-05,반도체와반도체장비
0,074600,원익QnC,1123.0,1343.0,220.0,2002-03-25 to 2004-08-05,반도체와반도체장비
0,036810,에프에스티,1806.0,2000.0,194.0,2002-03-25 to 2004-08-05,반도체와반도체장비
0,044490,태웅,2224.0,2680.0,456.0,2002-03-25 to 2004-08-05,에너지장비및서비스
0,033640,네패스,2592.0,6676.0,4084.0,2002-03-25 to 2004-08-05,반도체와반도체장비
0,005160,동국산업,767.0,1019.0,252.0,2002-03-25 to 2004-08-05,철강
0,060720,KH바텍,7017.0,15278.0,8261.0,2002-03-25 to 2004-08-05,핸드셋
0,023160,태광,2469.0,3453.0,984.0,2002-03-25 to 2004-08-05,기계
0,051370,인터플렉스,5355.0,23385.0,18030.0,2002-03-25 to 2004-08-05,전자장비와기기
0,035890,서희건설,624.0,666.0,42.0,2002-03-25 to 2004-08-05,건설
0,060150,인선이엔티,1959.0,4001.0,2042.0,2002-03-25 to 2004-08-05,상업서비스와공급품
0,013120,동원개발,278.0,380.0,102.0,2002-03-25 to 2004-08-05,건설
0,036890,진성티이씨,904.0,2188.0,1284.0,2002-03-25 to 2004-08-05,기계
0,057880,피에이치씨,20093.0,46618.0,26525.0,2002-03-25 to 2004-08-05,건강관리장비와용품
0,065680,우주일렉트로,2867.0,2967.0,100.0,2002-03-25 to 2004-08-05,핸드셋
0,043610,지니뮤직,2740.0,4155.0,1415.0,2002-03-25 to 2004-08-05,방송과엔터테인먼트
0,018000,유니슨,3203.0,3752.0,549.0,2002-03-25 to 2004-08-05,에너지장비및서비스
0,036710,심텍홀딩스,1492.0,1961.0,469.0,2002-03-25 to 2004-08-05,전자장비와기기
0,065130,탑엔지니어링,2803.0,8350.0,5547.0,2002-03-25 to 2004-08-05,핸드셋
0,049960,쎌바이오텍,2729.0,2966.0,237.0,2002-03-25 to 2004-08-05,생물공학
0,053450,세코닉스,7560.0,12274.0,4714.0,2002-03-25 to 2004-08-05,전자장비와기기
0,069540,빛과전자,12200.0,22478.0,10278.0,2002-03-25 to 2004-08-05,통신장비
0,050110,캠시스,3140.0,3460.0,320.0,2002-03-25 to 2004-08-05,핸드셋
0,066670,디티씨,2130.0,2247.0,117.0,2002-03-25 to 2004-08-05,핸드셋
0,069510,에스텍,3400.0,6740.0,3340.0,2002-03-25 to 2004-08-05,전자장비와기기
0,016100,리더스코스메틱,376.0,645.0,269.0,2002-03-25 to 2004-08-05,포장재
0,073640,테라사이언스,910.0,1111.0,201.0,2002-03-25 to 2004-08-05,기계
